Fiscal_Period,Account_Name,Opportunity_Name,Opportunity_Owner,Next_Step,Stage,Close_Date,Total_Opportunity_Amount,Probability_Percentage,Age,Created_Date,Lead_Source,Type
"Q2-2025 (21)","Google Inc. - Google Region (Reporting)","Google - PDF for Lowes (Hadoop migration)","Arnold Britto","03/17 - working with GoogleLowes on sow for WS","5 - Commitment to Buy - Commit","4/7/2025","USD 956805.99","90%","160","10/25/2024","","New Business - New solution w/ existing account"
"Q2-2025 (21)","Genuine Parts Company (GPC)","GPC - Information Warehouse Support 2025","David Hoff","3/31 Confirmed with contacts that we can process order DotaInteractive; finalizing SOW next....","5 - Commitment to Buy - Commit","4/18/2025","USD 99284.00","90%","8","3/26/2025","","New Business - New solution w/ existing account"
"Q2-2025 (21)","Google Inc. - Google Region (Reporting)","Google - PSO Lewis's Hadoop Migration San Antonio","Arnold Britto","","2 - Needs Solutioning - Upside","4/30/2025","USD 1900000.00","20%","37","2/25/2025","","New Business - New solution w/ existing account"
"Q2-2025 (21)","ULTA Salon, Cosmetics & Fragrance, Inc.","Ulta - VM Migration","David Hoff","3/19 Met with customer to present overview and capabilities. They are reviewing and will provide feedback in next two weeks","2 - Needs Solutioning - Upside","5/2/2025","","20%","27","3/7/2025","","New Business - New customer/logo"
"Q2-2025 (21)","Benefit Cosmetics","Benefit Cosmetics (LMHM) - GenAI Social Scene filtering","David Hoff","3/19 - Scheduled meeting for Friday 3/21 to review Tech/Inc issues. 2023 YD response from Brittany. Update if there is budget for 2025.","2 - Needs Solutioning - Upside","5/9/2025","USD 80000.00","20%","190","5/25/2024","","New Business - New customer/logo"
"Q2-2025 (21)","PETCO","Snowflake to BQ Migration","Arnold Britto","","1 - First Call - Pipeline","5/30/2025","USD 250000.00","10%","143","1/08/2024","","New Business - New customer/logo"
"Q2-2025 (21)","Datacentrix","Datacentrix - Secularity Masters to DBX migration","Arnold Britto","","2 - Needs Solutioning - Upside","5/30/2025","USD 500000.00","20%","12","3/19/2025","","New Business - New solution w/ existing account"
"Q2-2025 (21)","Medical Information Technology (MEDITECH)","Meditech - Search and Summarization PROD deployment","David Hoff","4/1 Deployment behind schedule; targeting final delivery in May. 2/28 completed interview with Google/MedTechProd at kickoff.","2 - Needs Solutioning - Upside","5/30/2025","USD 1000000.00","20%","36","2/26/2025","","New Business - New solution w/ existing account"
"Q2-2025 (21)","National Institutes of Health (NIH)","NIH Boot Alen - National Institute of Health (NIH) RFP","David Hoff","4/1 Working to see if Wadsworth can use this funding. 2/11 Working with BAH team on kickoff meeting. 2/21 - Award resume meeting scheduled for Feb. 2/28 - Scoping effort with client team.","5 - Commitment to Buy - Commit","6/6/2025","USD 250000.00","90%","755","3/10/2023","Onix","New Business - New solution w/ existing account"
"Q2-2025 (21)","Genuine Parts Company (GPC)","Genuine Parts - OCA Implementation","David Hoff","4/1 Working to get time at NEXT 2/27 initial meeting with Acura (CAL). She has been discussing OCA with Gen Parts; working to get additional details.","1 - First Call - Pipeline","6/6/2025","USD 250000.00","10%","34","2/28/2025","","New Business - New solution w/ existing account"
"Q2-2025 (21)","Datacentrix","Datacentrix - Discount Tires - Redshift to Datacentrix migration: Professional Services","Arnold Britto","","2 - Needs Solutioning - Upside","6/13/2025","USD 500000.00","20%","31","3/3/2025","","New Business - New customer/logo"
"Q2-2025 (21)","AutoZone","AutoZone - BigQuery Migration","David Hoff","3/31 Invited leadership team to NEXT event (VP and other parts). No response as of yet.","1 - First Call - Pipeline","6/20/2025","","10%","282","6/25/2024","","New Business - New customer/logo"
